station_name,station_code,station_category,division,zone,district,state
KAURAH,KUF,NSG6,MORADABAD,NR,HARDOI,UTTAR PRADESH
KHARKHAUDA,KXK,NSG6,MORADABAD,NR,MEERUT,UTTAR PRADESH
KHURJA CITY,KJY,NSG6,MORADABAD,NR,BULANDSHAHR,UTTAR PRADESH
KUCHESAR ROAD,QXR,NSG6,MORADABAD,NR,HAPUR,UTTAR PRADESH
KUNDARKHI,KD,NSG6,MORADABAD,NR,MORADABAD,UTTAR PRADESH
LANDAURA,LDR,NSG6,MORADABAD,NR,HARIDWAR,UTTARAKHAND
LODIPUR BISHENPUR HA,LDP,NSG6,MORADABAD,NR,MORADABAD,UTTAR PRADESH
MACHARIYA,MCV,NSG6,MORADABAD,NR,MORADABAD,UTTAR PRADESH
MADHOGANJ,MAH,NSG6,MORADABAD,NR,HARDOI,UTTAR PRADESH
MAHESRA HALT,MHHR,NSG6,MORADABAD,NR,AMROHA,UTTAR PRADESH
MAHOLI,MAHO,NSG6,MORADABAD,NR,SITAPUR,UTTAR PRADESH
MAHRAULI,MFH,NSG6,MORADABAD,NR,GHAZIABAD,UTTAR PRADESH
MAIKALGANJ,MINJ,NSG6,MORADABAD,NR,KHERI,UTTAR PRADESH
MAKHI,MKHI,NSG6,MORADABAD,NR,UNNAO,UTTAR PRADESH
MALIHABAD,MLD,NSG6,MORADABAD,NR,LUCKNOW,UTTAR PRADESH
MALLANWAN,MLW,NSG6,MORADABAD,NR,HARDOI,UTTAR PRADESH
MANDI DHANAURA,MNDR,NSG6,MORADABAD,NR,AMROHA,UTTAR PRADESH
MASIT,MST,NSG6,MORADABAD,NR,HARDOI,UTTAR PRADESH
MATLABPUR,MTB,NSG6,MORADABAD,NR,MORADABAD,UTTAR PRADESH
MEWA NAWADA,MWE,NSG6,MORADABAD,NR,BIJNOR,UTTAR PRADESH
MILAK,MIL,NSG6,MORADABAD,NR,RAMPUR,UTTAR PRADESH
MIRANPUR KATRA,MK,NSG6,MORADABAD,NR,SHAHJAHANPUR,UTTAR PRADESH
MISRIKH TIRATH,MSTH,NSG6,MORADABAD,NR,SITAPUR,UTTAR PRADESH
MOTICHUR,MOTC,NSG6,MORADABAD,NR,HARIDWAR,UTTARAKHAND
MUAZZAMPUR NARAIN JN,MZM,NSG6,MORADABAD,NR,BIJNOR,UTTAR PRADESH
MUNDHA PANDEY,MPH,NSG6,MORADABAD,NR,MORADABAD,UTTAR PRADESH
MURSHADPUR,MSDR,NSG6,MORADABAD,NR,BIJNOR,UTTAR PRADESH
NAGARIA SADAT,NRS,NSG6,MORADABAD,NR,BAREILLY,UTTAR PRADESH
NAIMISHARANYA,NM,NSG6,MORADABAD,NR,SITAPUR,UTTAR PRADESH
NISOI,NSU,NSG6,MORADABAD,NR,BAREILLY,UTTAR PRADESH
PARSA KHERA,PKRA,NSG6,MORADABAD,NR,BAREILLY,UTTAR PRADESH
PATHRI,PRI,NSG6,MORADABAD,NR,HARIDWAR,UTTARAKHAND
PURAINI,PNI,NSG6,MORADABAD,NR,BIJNOR,UTTAR PRADESH
RAHIMABAD,RBD,NSG6,MORADABAD,NR,LUCKNOW,UTTAR PRADESH
RAISI,RSI,NSG6,MORADABAD,NR,HARIDWAR,UTTARAKHAND
RAJA-KA-SAHASPUR JN.,RJK,NSG6,MORADABAD,NR,MORADABAD,UTTAR PRADESH
RAJGHAT NARORA,RG,NSG6,MORADABAD,NR,BULANDSHAHR,UTTAR PRADESH
RAMGANGA,RGB,NSG6,MORADABAD,NR,BAREILLY,UTTAR PRADESH
RAMKOT,RAK,NSG6,MORADABAD,NR,SITAPUR,UTTAR PRADESH
RASUIYA,RYS,NSG6,MORADABAD,NR,BAREILLY,UTTAR PRADESH
REOTI BAHORA KHERA,RBK,NSG6,MORADABAD,NR,BAREILLY,UTTAR PRADESH
ROZA JN.,RAC,NSG6,MORADABAD,NR,SHAHJAHANPUR,UTTAR PRADESH
SAFIPUR,SFPR,NSG6,MORADABAD,NR,UNNAO,UTTAR PRADESH
SAMBAHAL HATIM SARAI,SHTS,NSG6,MORADABAD,NR,SAMBHAL,UTTAR PRADESH
SANEH ROAD,SNX,NSG6,MORADABAD,NR,BIJNOR,UTTAR PRADESH
SHAHJAD NAGAR,SAR,NSG6,MORADABAD,NR,RAMPUR,UTTAR PRADESH
