station_name,station_code,station_category,division,zone,district,state
JAGADHRI WORKSHOP,JUDW,NSG5,AMBALA,NR,YAMUNANAGAR,HARYANA
KHANNA,KNN,NSG5,AMBALA,NR,LUDHIANA,PUNJAB
MALERKOTLA,MET,NSG5,AMBALA,NR,SANGRUR,PUNJAB
MALOUT,MOT,NSG5,AMBALA,NR,SRI MUKTSAR SAHIB,PUNJAB
MANDI GOBIND GARH,GVG,NSG5,AMBALA,NR,FATEHGARH SAHIB,PUNJAB
NABHA,NBA,NSG5,AMBALA,NR,PATIALA,PUNJAB
NANGAL DAM,NLDM,NSG5,AMBALA,NR,RUPNAGAR,PUNJAB
RAMPURA PHUL,PUL,NSG5,AMBALA,NR,BATHINDA,PUNJAB
ROOP NAGAR,RPAR,NSG5,AMBALA,NR,RUPNAGAR,PUNJAB
SAHIBZADA AJITSINGH,SASN,NSG5,AMBALA,NR,RUPNAGAR,PUNJAB
SANGRUR,SAG,NSG5,AMBALA,NR,SANGRUR,PUNJAB
SHIMLA,SML,NSG5,AMBALA,NR,SHIMLA,HIMACHAL PRADESH
SUNAM UDHAM S W,SFMU,NSG5,AMBALA,NR,SANGRUR,PUNJAB
UNA HIMACHAL,UHL,NSG5,AMBALA,NR,UNA,HIMACHAL PRADESH
YAMUNANAGAR JUD,YJUD,NSG5,AMBALA,NR,YAMUNANAGAR,HARYANA
AHMED GARH,AHH,NSG6,AMBALA,NR,SANGRUR,PUNJAB
ALAL,ALAL,NSG6,AMBALA,NR,SANGRUR,PUNJAB
BAHADUR SINGH WALA,BSS,NSG6,AMBALA,NR,SANGRUR,PUNJAB
BAROG,BOF,NSG6,AMBALA,NR,SOLAN,HIMACHAL PRADESH
BARWALA,BXC,NSG6,AMBALA,NR,HISAR,HARYANA
BASSI PATHANAN,BSPN,NSG6,AMBALA,NR,FATEHGARH SAHIB,PUNJAB
BATHINDA CANTT.,BTIC,NSG6,AMBALA,NR,BATHINDA,PUNJAB
BHARATGARH,BARJ,NSG6,AMBALA,NR,RUPNAGAR,PUNJAB
BHUCHCHU,BCU,NSG6,AMBALA,NR,BATHINDA,PUNJAB
BULLUANA,BHX,NSG6,AMBALA,NR,BATHINDA,PUNJAB
CHAJLI,CJL,NSG6,AMBALA,NR,SANGRUR,PUNJAB
CHANDI MANDIR,CNDM,NSG6,AMBALA,NR,PANCHKULA,HARYANA
CHAWAPAIL,CHA,NSG6,AMBALA,NR,LUDHIANA,PUNJAB
CHHINTANWALA,CTW,NSG6,AMBALA,NR,PATIALA,PUNJAB
CHINTPURNI MARG,CHMG,NSG6,AMBALA,NR,UNA,HIMACHAL PRADESH
CHURARU TAKARLA,CHTL,NSG6,AMBALA,NR,UNA,HIMACHAL PRADESH
DAPPER,DHPR,NSG6,AMBALA,NR,S.A.S NAGAR,PUNJAB
DARAZPUR,DZP,NSG6,AMBALA,NR,YAMUNANAGAR,HARYANA
DAULATPUR CHAUK,DLPC,NSG6,AMBALA,NR,UNA,HIMACHAL PRADESH
DAUN KALAN,DOC,NSG6,AMBALA,NR,PATIALA,PUNJAB
DHABLAN,DBN,NSG6,AMBALA,NR,PATIALA,PUNJAB
DHANSU,DNX,NSG6,AMBALA,NR,HISAR,HARYANA
DHARAMPUR HIMACHAL,DMP,NSG6,AMBALA,NR,SOLAN,HIMACHAL PRADESH
DHULKOT,DKT,NSG6,AMBALA,NR,AMBALA,HARYANA
DORAHA,DOA,NSG6,AMBALA,NR,LUDHIANA,PUNJAB
DUKHERI,DOKY,NSG6,AMBALA,NR,AMBALA,HARYANA
FAQARSAR,FSR,NSG6,AMBALA,NR,SRI MUKTSAR SAHIB,PUNJAB
FATEHGARH SAHIB,FGSB,NSG6,AMBALA,NR,FATEHGARH SAHIB,PUNJAB
FATUHI,FTH,NSG6,AMBALA,NR,GANGANAGAR,RAJASTHAN
GHAGGHAR,GHG,NSG6,AMBALA,NR,S.A.S NAGAR,PUNJAB
GHANAULI,GANL,NSG6,AMBALA,NR,RUPNAGAR,PUNJAB
GILL,GILL,NSG6,AMBALA,NR,LUDHIANA,PUNJAB
GOVINDGARH KHOKHAR,GGKR,NSG6,AMBALA,NR,SANGRUR,PUNJAB
GUMMAN,GMM,NSG6,AMBALA,NR,SOLAN,HIMACHAL PRADESH
GURNAY,GRN,NSG6,AMBALA,NR,SANGRUR,PUNJAB
HADIAYA,HYA,NSG6,AMBALA,NR,BARNALA,PUNJAB
HIMMATANA,HMI,NSG6,AMBALA,NR,SANGRUR,PUNJAB
HINDUMALKOTE,HMK,NSG6,AMBALA,NR,GANGANAGAR,RAJASTHAN
JAMALPUR SHAIKHAN,JPS,NSG6,AMBALA,NR,FARIDABAD,HARYANA
JETHUKE,JHK,NSG6,AMBALA,NR,BATHINDA,PUNJAB
JUTOGH,JTO,NSG6,AMBALA,NR,SHIMLA,HIMACHAL PRADESH
KALANOUR,KNZ,NSG6,AMBALA,NR,YAMUNANAGAR,HARYANA
KANDAGHAT,KDZ,NSG6,AMBALA,NR,SOLAN,HIMACHAL PRADESH
KANOH,KANO,NSG6,AMBALA,NR,SOLAN,HIMACHAL PRADESH
KATHLEEGHAT,KEJ,NSG6,AMBALA,NR,SOLAN,HIMACHAL PRADESH
KAULI,KLI,NSG6,AMBALA,NR,PATIALA,PUNJAB
KAULSERI,KLSX,NSG6,AMBALA,NR,SANGRUR,PUNJAB
KESRI,KES,NSG6,AMBALA,NR,AMBALA,HARYANA
KHARAR,KARR,NSG6,AMBALA,NR,S.A.S NAGAR,PUNJAB
KILA RAIPUR,QRP,NSG6,AMBALA,NR,LUDHIANA,PUNJAB
KIRATPUR SAHIB,KART,NSG6,AMBALA,NR,RUPNAGAR,PUNJAB
KOTI,KOTI,NSG6,AMBALA,NR,SOLAN,HIMACHAL PRADESH
KUMARHATTI DAGSHAI,KMTI,NSG6,AMBALA,NR,SOLAN,HIMACHAL PRADESH
KUP,KUP,NSG6,AMBALA,NR,SANGRUR,PUNJAB
KURALI,KRLI,NSG6,AMBALA,NR,S.A.S NAGAR,PUNJAB
LALRU,LLU,NSG6,AMBALA,NR,S.A.S NAGAR,PUNJAB
LEHRA GAGA,LHA,NSG6,AMBALA,NR,SANGRUR,PUNJAB
LEHRA MUHABBAT,LHM,NSG6,AMBALA,NR,BATHINDA,PUNJAB
MIANPUR,MNPR,NSG6,AMBALA,NR,RUPNAGAR,PUNJAB
MORINDA,MRND,NSG6,AMBALA,NR,RUPNAGAR,PUNJAB
MUSTAFABAD,MFB,NSG6,AMBALA,NR,YAMUNANAGAR,HARYANA
NEW MORINDA,NMDA,NSG6,AMBALA,NR,RUPNAGAR,PUNJAB
NOGANWAN,NGWN,NSG6,AMBALA,NR,FATEHGARH SAHIB,PUNJAB
PAKKI,PKK,NSG6,AMBALA,NR,SRI MUKTSAR SAHIB,PUNJAB
PANJ-KOSI,PJK,NSG6,AMBALA,NR,FAZILKA,PUNJAB
PILKHANI,PKY,NSG6,AMBALA,NR,SAHARANPUR,UTTAR PRADESH
RAI MAIHATPUR,MTPR,NSG6,AMBALA,NR,UNA,HIMACHAL PRADESH
RAIPUR HARYANA,RPHR,NSG6,AMBALA,NR,HISAR,HARYANA
SADHOO GARH,SDY,NSG6,AMBALA,NR,FATEHGARH SAHIB,PUNJAB
SALOGRA,SLR,NSG6,AMBALA,NR,SOLAN,HIMACHAL PRADESH
SAMBHU,SMU,NSG6,AMBALA,NR,PATIALA,PUNJAB
SARAI BANJARA,SBJ,NSG6,AMBALA,NR,PATIALA,PUNJAB
SARSAWA,SSW,NSG6,AMBALA,NR,SAHARANPUR,UTTAR PRADESH
SEKHA,SEQ,NSG6,AMBALA,NR,BARNALA,PUNJAB
SHOGHI,SGS,NSG6,AMBALA,NR,SHIMLA,HIMACHAL PRADESH
SOLAN,SOL,NSG6,AMBALA,NR,SOLAN,HIMACHAL PRADESH
SONWARA,SWO,NSG6,AMBALA,NR,SOLAN,HIMACHAL PRADESH
SUMMER HILL,SHZ,NSG6,AMBALA,NR,SHIMLA,HIMACHAL PRADESH
TAKSAL,TSL,NSG6,AMBALA,NR,SOLAN,HIMACHAL PRADESH
TAPA,TAPA,NSG6,AMBALA,NR,BARNALA,PUNJAB
TARADEVI,TVI,NSG6,AMBALA,NR,SHIMLA,HIMACHAL PRADESH
UKLANA,UKN,NSG6,AMBALA,NR,HISAR,HARYANA
